Artist,Album,Year,ID,,,,,,,,,,,,,,,,,,,,,
Ed Sheeran,2step (The Remixes),2021,0a28QsFN8zbrWSvbSQ40PI,,,,,,,,,,,,,,,,,,,,,
Ellie Goulding,Bright Lights (Lights Re-pack / Bonus Version),2010,64Pv36CiG9rBcyvKnud02V,,,,,,,,,,,,,,,,,,,,,
Elton John,The Road To El Dorado (Original Motion Picture Soundtrack),2000,5GAGfiaxn35fhwQlBGFgpf,,,,,,,,,,,,,,,,,,,,,
Elton John,Rocketman (Music From The Motion Picture),2019,16iIPsnAjGZea8TeOCzeN8,,,,,,,,,,,,,,,,,,,,,
Fleetwood Mac,50 Years - Don't Stop,2018,06JqOkwwy91OxrApXclzYf,,,,,,,,,,,,,,,,,,,,,
fun.,Some Nights,2012,3KVTdZmRiy2H1fyIzKMBxJ,,,,,,,,,,,,,,,,,,,,,
Future,SUPERFLY (Original Motion Picture Soundtrack),2018,0C0Vs4XobImmqpr6kIasde,,,,,,,,,,,,,,,,,,,,,
Future,I NEVER LIKED YOU (Instrumental),2022,4WgEUAbA3elrKKvTh1jjM3,,,,,,,,,,,,,,,,,,,,,
Genesis,Archive #1 (1967 - 1975),1998,12u6LF4yFFfbGK554Duay5,,,,,,,,,,,,,,,,,,,,,
Genesis,Archive #2 (1976 - 1992),2000,5ZJrRUIm6apjER9MNU7QBJ,,,,,,,,,,,,,,,,,,,,,
Genesis,The Last Domino?,2021,2VMk6eFV1MafApI6Txke5H,,,,,,,,,,,,,,,,,,,,,
Glass Animals,Dreamland (+ Bonus Levels 2.0),2021,7cVH2UZweQe9dQ2DAt4GyZ,,,,,,,,,,,,,,,,,,,,,
Green Day,BBC Sessions (Live),2021,7igexfyHGnY4qMAyOzc4q8,,,,,,,,,,,,,,,,,,,,,
Gustavo Cerati,Siempre Es Hoy/Reversiones,2003,71Q5XZXu4maPhmUwyITtMs,,,,,,,,,,,,,,,,,,,,,
Halsey,hopeless fountain kingdom (Live From Webster Hall),2022,7KNg6zJEM8HZTOzklQEjWA,,,,,,,,,,,,,,,,,,,,,
Jack Johnson,Sing-A-Longs & Lullabies For The Film Curious George,2006,0kYv61g7n6ZPe2TVaIBeeJ,,,,,,,,,,,,,,,,,,,,,
Jack Johnson,Jack Johnson And Friends: Sing-A-Longs And Lullabies For The Film Curious George,2006,7t7NcQkBgeFVIWkyTlPr7T,,,,,,,,,,,,,,,,,,,,,
Jack Johnson,Sleep Through The Static: Remixed,2008,5sepHXGobkchZMKuYa7s5O,,,,,,,,,,,,,,,,,,,,,
Jason Mraz,Jason Mraz Live & Acoustic 2001,2008,1xT5AJ90okXtEV70jLkXNY,,,,,,,,,,,,,,,,,,,,,
Jason Mraz,YES! (Commentary),2014,2pkE09f0DykOk472XemaTs,,,,,,,,,,,,,,,,,,,,,
Jason Mraz,Jason Mraz Live & Acoustic 2001 (20th Anniversary Edition),2021,67OQDxAUZjR85YRnd74V3o,,,,,,,,,,,,,,,,,,,,,
Jay Wheeler,Jay Wheeler En Vivo,2023,5qq7QrnwC09xndOY2J1HtP,,,,,,,,,,,,,,,,,,,,,
JAY-Z,Jay-Z Unplugged (Live On MTV Unplugged / 2001),2001,7ctCScnWG0nMedlfUiauOk,,,,,,,,,,,,,,,,,,,,,
Jimmy Eat World,Surviving: Phoenix Sessions,2021,0o5EAbdlKE6AJxfJrObfCU,,,,,,,,,,,,,,,,,,,,,
Jimmy Eat World,Futures: Phoenix Sessions,2021,41W2Ns2xlYdvXG0aeVi3ig,,,,,,,,,,,,,,,,,,,,,
Jimmy Eat World,Clarity: Phoenix Sessions,2021,6mnGRO87UFiKOoHL3BezZ7,,,,,,,,,,,,,,,,,,,,,
John Legend,Spotify Sessions,2013,0ryfxFVYctq06Btwatl8zE,,,,,,,,,,,,,,,,,,,,,
John Legend,LEGEND (Solo Piano Version),2023,5WgC0rNbr8aC5vEqL9U8Zo,,,,,,,,,,,,,,,,,,,,,
Jonas Brothers,JONAS L.A. (Music from the TV Series),2010,13xbg8hAddxUDNksjSKzsz,,,,,,,,,,,,,,,,,,,,,
Juanes,Mi Sangre 2005 Tour Edition,2005,0zjVfx8ez3fDVvUT5Z8kBE,,,,,,,,,,,,,,,,,,,,,
Juanes,La Vida Es Un Ratico En Vivo,2008,3oYMEOpdQ3OeMCTSZoMcPQ,,,,,,,,,,,,,,,,,,,,,
Juanes,Loco De Amor (Tour Edition),2015,3htJFw3Ad4OaE30FbwO5nu,,,,,,,,,,,,,,,,,,,,,
Juice WRLD,Goodbye & Good Riddance (5 Year Anniversary Edition),2023,5v9IfhMyxAkE9CbLjfNChR,,,,,,,,,,,,,,,,,,,,,
Justin Bieber,Never Say Never - The Remixes,2011,0wZJCeyfJ0LVrrtH4CwQYw,,,,,,,,,,,,,,,,,,,,,
Justin Bieber,Believe Acoustic,2013,1RMfz6rbIyrQYChfcCoiJ4,,,,,,,,,,,,,,,,,,,,,
Justin Timberlake,"12"" Masters - The Essential Mixes",2010,5nEa8zZQgZetmabLXu72Ko,,,,,,,,,,,,,,,,,,,,,
Justin Timberlake,The Book of Love (Original Motion Picture Soundtrack),2017,2H8u9DigrbmhweDlLr8twg,,,,,,,,,,,,,,,,,,,,,
Katy Perry,One Of The Boys (15th Anniversary Edition),2023,4E0vDZuTPYYySw3TcVi6H0,,,,,,,,,,,,,,,,,,,,,
Kenny Rogers,Timepiece - Orchestral Sessions with David Foster,1994,5XjrkXdO30UDY72xo2iLu6,,,,,,,,,,,,,,,,,,,,,
Kygo,Kids in Love (Remixes),2018,7LbyVLGeEWZYOUKCecv3gI,,,,,,,,,,,,,,,,,,,,,
Lady Gaga,A Star Is Born Soundtrack (Without Dialogue),2018,3edjzMAVB9RYRd4UcZBchx,,,,,,,,,,,,,,,,,,,,,
Lady Gaga,A Star Is Born Soundtrack,2018,4sLtOBOzn4s3GDUv3c5oJD,,,,,,,,,,,,,,,,,,,,,
Lady Gaga,BORN THIS WAY THE TENTH ANNIVERSARY,2021,6Yf9kML4wT3opmXhTUIfk7,,,,,,,,,,,,,,,,,,,,,
Lady Gaga,Top Gun: Maverick (Music From The Motion Picture),2022,3tjIKRAPBy5Qu4z8F5HmBz,,,,,,,,,,,,,,,,,,,,,
Lauv,I met you when I was 18. (the extras),2018,53L0zJIjxxqClZyJGN5p7o,,,,,,,,,,,,,,,,,,,,,
Lauv,~how i'm feeling~ (the extras),2019,1Y8FqfEHHJpEEYx3HPIa9m,,,,,,,,,,,,,,,,,,,,,
Lil Wayne,Tha Carter III [Edited (MTV Bonus Version)],2008,7GNr4PXYVHMJyOWkCqZDVp,,,,,,,,,,,,,,,,,,,,,
Linkin Park,LIVING THINGS: Acapellas and Instrumentals,2012,7qRKpkP0jSOlBMLYZhAMCh,,,,,,,,,,,,,,,,,,,,,
Linkin Park,The Hunting Party: Acapellas + Instrumentals,2014,6hU9JCoqq4GjYq86dQ1o9b,,,,,,,,,,,,,,,,,,,,,
Linkin Park,Hybrid Theory (20th Anniversary Edition),2020,28DUZ0itKISf2sr6hlseMy,,,,,,,,,,,,,,,,,,,,,
