Artist Name,Track Name,Track ID,Value,Type
Green Day,Paper Lanterns,5TbJdu0jasNSuQRDkjIKax,0.996,en
Guns N' Roses,Garden Of Eden - 2022 Remaster,7vgCdQo44FWsOEZbstiTS2,0.999,en
Guns N' Roses,Garden Of Eden - 2022 Remaster,2dBm1u1etHm4UsZ17S4tSr,0.999,en
Guns N' Roses,Human Being,1lOuIyCsLqFwQFLFahWCC6,0.996,en
Guns N' Roses,Raw Power,2foNAckCzsyD0HJUbmhTZJ,0.996,en
Guns N' Roses,Reckless Life - 1986 Sound City Session,3lN4CAGBYeEj0QKG2NBylA,0.997,en
Jimmy Eat World,Lucky Denver Mint,2GtMBnQshzpr6kIInqTJVd,0.996,en
Logic,Bleed It,3RTCSJf6MKrEXNjws0G6Ou,0.996,en
Metallica,Lux Æterna,18zjwSgYiwu1Meb7Po3tUP,0.996,en
Metallica,Last Caress / Green Hell,2huEOPsK2M0GbgfoiTqEdy,0.998,en
Nickelback,"Intro/Animals - Live at Buffalo Chip, Sturgis, SD, 8/8/2006",3WXIzH7suUHdQ20flxqL4W,0.996,en
Nirvana,Tourette's - Demo / Instrumental,0AHlGWfSaznR8FxFDLUbTU,0.998,en
Oasis,The Meaning Of Soul,0ck74tvdjSVbc79hfTB8ym,0.999,en
Oasis,Cigarettes & Alcohol - Live at Manchester Academy,7kkuGsgXGgrQvlnz86MydP,0.998,en
Papa Roach,I Suffer Well,3Fxnw9G1qd9VwqyHP6jZ0G,0.998,en
Rage Against The Machine,Street Fighting Man,5JEZevevEmF725NxEBhfBT,0.997,en
Red Hot Chili Peppers,Subway To Venus - Remastered,2JjM0vE6PADTFb2LXdAzVG,0.997,en
Red Hot Chili Peppers,"Johnny, Kick A Hole In The Sky - Remastered",6vIf6kXGafCa6bBgXVSvnN,0.997,en
Red Hot Chili Peppers,Catholic School Girls Rule - Remastered,1sRFxaAfLqEVQNyVzOEPj2,0.998,en
The Cure,It's Over,7mlBdP3I1eCedzyn2sPFAR,0.998,en
The Smashing Pumpkins,Slunk - Live On Japanese TV/1992,53FEe8POnXL1ggsf8u3JuG,0.997,en
The White Stripes,Broken Bricks,1kw5Mr19smLQWlZPzJkLCL,0.997,en
TV Girl,Your Friends Are Calling Your Name,59DxXc2Y0Pwre0TgnZpsQd,0.997,en
"Tyler, The Creator",Tamale - Instrumental,72OgjLqn9qG0A9XkfGwGrt,0.998,en
