Artist,Album,Year,Popularity,Duration,Cover,ID,Language,acousticness,danceability,energy,instrumentalness,loudness,mode,speechiness,tempo,valence,liveness
Mac Miller,Best Day Ever (5th Anniversary Remastered Edition),2016,69,51.4,https://i.scdn.co/image/ab67616d0000b27349a3f56cdc4d1f0da6b3be79,0YA7XxxfkaGwecj3liSTvj,English,0.187,0.612,0.749,0.0,-5.341,0.75,0.136,131.605,0.501,0.186
Mac Miller,GO:OD AM,2015,74,70.6,https://i.scdn.co/image/ab67616d0000b273ee0f38410382a255e4fb15f4,2Tyx5dLhHYkx6zeAdVaTzN,English,0.352,0.637,0.617,0.0,-6.767,0.412,0.197,120.204,0.412,0.3
Mac Miller,Watching Movies with the Sound Off,2013,65,61.7,https://i.scdn.co/image/ab67616d0000b273c55598e1d908aad2918d84ec,5lftuHeYvtCA64xGfUviwS,English,0.316,0.529,0.686,0.0,-6.742,0.625,0.236,121.04,0.342,0.296
Mac Miller,Macadelic,2012,68,64.8,https://i.scdn.co/image/ab67616d0000b273b96e6f1969405960d026b9e2,1xCNBnc7Gm2VudnyeyZ11Q,English,0.268,0.607,0.683,0.015,-7.236,0.647,0.219,124.392,0.405,0.324
Mac Miller,Blue Slide Park,2011,66,46.2,https://i.scdn.co/image/ab67616d0000b273fef67ba7527cc0aa2ec6edf8,17mAoDs7T8EA9zzlj6QPBv,English,0.248,0.54,0.726,0.03,-7.446,0.688,0.191,124.692,0.394,0.18
Mac Miller,K.I.D.S. (Deluxe),2010,75,54.0,https://i.scdn.co/image/ab67616d0000b273463d73e65c7b95a17898388b,6TFm9KGW7Lbxrl2Zsg4X9R,English,0.197,0.64,0.809,0.0,-5.075,0.556,0.264,103.863,0.575,0.303
Mac Miller,K.I.D.S.,2010,74,47.1,https://i.scdn.co/image/ab67616d0000b273a694ca73bba461b1cdd4e0f8,1jzqEyjugAp9iLtRsj9LZg,English,0.21,0.628,0.825,0.0,-4.778,0.562,0.275,105.019,0.593,0.328
Machine Gun Kelly,mainstream sellout (life in pink deluxe),2022,63,59.6,https://i.scdn.co/image/ab67616d0000b2738f8c981944c3ae3e39039cd0,5mj5NblnMMm5G3n1cugGH7,English,0.111,0.571,0.738,0.0,-5.44,0.773,0.115,135.947,0.468,0.262
Machine Gun Kelly,mainstream sellout,2022,73,40.4,https://i.scdn.co/image/ab67616d0000b273b4683d9ac3c5f14a71523c84,3sKZHtQoq3tPtkXbT8PJAc,English,0.101,0.592,0.735,0.0,-5.58,0.75,0.133,131.675,0.499,0.247
Machine Gun Kelly,Tickets To My Downfall (SOLD OUT Deluxe),2020,65,53.2,https://i.scdn.co/image/ab67616d0000b273d2939e48fb657d72064ca699,13lMLnHs5qsmm687oRc3VC,English,0.123,0.56,0.753,0.0,-5.396,0.667,0.117,134.581,0.507,0.245
Machine Gun Kelly,Tickets To My Downfall,2020,75,36.2,https://i.scdn.co/image/ab67616d0000b273d4d4929a3a86fe2f9fadbd42,57lgFncHBYu5E3igZnuCJK,English,0.108,0.572,0.743,0.001,-6.001,0.733,0.123,130.111,0.489,0.252
Machine Gun Kelly,Hotel Diablo,2019,72,37.6,https://i.scdn.co/image/ab67616d0000b273cfc4b1939aba562fc97159c5,0bJIHF1Or1YBLFBMwv53K2,English,0.148,0.665,0.601,0.03,-7.069,0.286,0.153,103.955,0.339,0.183
Machine Gun Kelly,BINGE,2018,55,24.3,https://i.scdn.co/image/ab67616d0000b273ed882d7c9151009310f0613a,5YuscmEJSgkwWzBafTBKse,English,0.152,0.804,0.551,0.06,-8.109,0.889,0.153,127.648,0.272,0.127
Machine Gun Kelly,bloom (Deluxe),2017,61,52.7,https://i.scdn.co/image/ab67616d0000b27385481706e2f485b9d5b7c719,6i34bwPf5FpNf0nh7sIXhv,English,0.064,0.63,0.672,0.002,-6.058,0.467,0.136,133.104,0.224,0.18
Machine Gun Kelly,General Admission (Deluxe),2015,62,64.3,https://i.scdn.co/image/ab67616d0000b27325db200c7c4a44644043da9e,1HK1WLip5xwWQYixdF3Jsk,English,0.138,0.668,0.678,0.0,-7.09,0.562,0.211,120.528,0.288,0.24
Machine Gun Kelly,Lace Up (Deluxe),2012,57,59.5,https://i.scdn.co/image/ab67616d0000b273a57d3a2736f815d3cf358e37,5NzdnPboXcqvuvyEH1wSEJ,English,0.067,0.683,0.772,0.0,-6.214,0.5,0.147,117.344,0.34,0.195
Machine Gun Kelly,Lace Up,2012,48,49.8,https://i.scdn.co/image/ab67616d0000b273cfac68443715de902bd7ea53,3A9kcRzKS8zQtbQ0JwksuS,English,0.08,0.687,0.767,0.0,-6.43,0.462,0.149,119.246,0.349,0.203
Madison Beer,Life Support,2021,68,46.5,https://i.scdn.co/image/ab67616d0000b27321bf5e9a1442b01008d63cfd,1TKYO9znkrY14VayHze05r,English,0.363,0.455,0.516,0.005,-7.217,0.765,0.085,116.925,0.294,0.168
Magdalena Bay,Mercurial World (Deluxe),2022,41,70.9,https://i.scdn.co/image/ab67616d0000b273b5aa6f21efe391d0711ba42a,01d2Rn2VtB6THtOb9nwM9p,English,0.313,0.606,0.634,0.339,-9.622,0.625,0.113,116.791,0.452,0.272
Magdalena Bay,Mercurial World,2021,55,46.1,https://i.scdn.co/image/ab67616d0000b2730ecbdac77e72dc16719a3e89,1ERrUvG31thFCxdwWUoJrY,English,0.065,0.63,0.699,0.37,-7.928,0.5,0.043,120.361,0.39,0.303
Magdalena Bay,A Little Rhythm and a Wicked Feeling,2020,54,27.9,https://i.scdn.co/image/ab67616d0000b273ae69f02d74849157de206294,5OsXAPcYYYNTtkFuuB8TDc,English,0.037,0.792,0.6,0.062,-7.169,0.625,0.074,114.768,0.532,0.1
